source,cell,cls,documented,dist_km,gate_km,gated_out,mcut,window,n_post,n_bg,lam_bg_per_day,expected,RR,p_cell,n_null,null_mean,null_p95,sig_primary_Pa,sig_secondary_Pa,sig_primary_Mw_Pa,p_familywise,p_WY_family,p_WY_within_source,p_familywise_within_source
hectormine,geysers,A,True,748.7517795211193,96.0,False,1.5,5d,8,203,2.2555555555555555,11.277777777777779,0.70935960591133,0.7697841726618705,972,1.0160974883123688,1.7134689233394957,28530.130169407606,167941.2422122442,14298.937014631356,1.0,1.0,1.0,1.0
hectormine,geysers,A,True,748.7517795211193,96.0,False,1.5,1d,1,203,2.2555555555555555,2.2555555555555555,0.4433497536945813,0.7646454265159301,972,1.0057632031959667,2.3316062176165806,28530.130169407606,167941.2422122442,14298.937014631356,1.0,1.0,1.0,1.0
hectormine,geysers,A,True,748.7517795211193,96.0,False,2.5,5d,1,10,0.1111111111111111,0.5555555555555556,1.7999999999999998,0.23638232271325796,972,1.088392372298992,3.5999999999999996,28530.130169407606,167941.2422122442,14298.937014631356,1.0,1.0,1.0,0.9948612538540597
hectormine,geysers,A,True,748.7517795211193,96.0,False,2.5,1d,0,10,0.1111111111111111,0.1111111111111111,0.0,1.0,972,1.144768076186199,7.5,28530.130169407606,167941.2422122442,14298.937014631356,1.0,1.0,1.0,1.0
hectormine,yellowstone,A,True,1206.5966212968665,96.0,False,1.5,5d,2,78,0.8666666666666667,4.333333333333334,0.46153846153846145,0.5426515930113053,972,1.289052908497333,4.679710144927535,12921.457967889903,90748.21578969184,6476.069773357805,1.0,1.0,1.0,1.0
hectormine,yellowstone,A,True,1206.5966212968665,96.0,False,1.5,1d,0,78,0.8666666666666667,0.8666666666666667,0.0,1.0,972,1.3761158216680625,6.505714285714274,12921.457967889903,90748.21578969184,6476.069773357805,1.0,1.0,1.0,1.0
hectormine,yellowstone,A,True,1206.5966212968665,96.0,False,2.5,5d,0,13,0.14444444444444443,0.7222222222222221,0.0,1.0,793,1.0705458475950278,9.0,12921.457967889903,90748.21578969184,6476.069773357805,1.0,1.0,1.0,1.0
hectormine,yellowstone,A,True,1206.5966212968665,96.0,False,2.5,1d,0,13,0.14444444444444443,0.14444444444444443,0.0,1.0,793,1.226634021715989,0.0,12921.457967889903,90748.21578969184,6476.069773357805,1.0,1.0,1.0,1.0
hectormine,salton_brawley,A,False,177.30480778954595,96.0,False,1.5,5d,112,30,0.3333333333333333,1.6666666666666665,67.2,0.0010277492291880781,972,1.0964603323502633,4.1746153846153815,311765.86526304187,1076970.3571120866,156253.07155059656,0.2682425488180884,0.0010277492291880781,0.0010277492291880781,0.07708119218910586
hectormine,salton_brawley,A,False,177.30480778954595,96.0,False,1.5,1d,30,30,0.3333333333333333,0.3333333333333333,90.0,0.0010277492291880781,972,1.0884124381599947,5.7066532258064395,311765.86526304187,1076970.3571120866,156253.07155059656,0.24357656731757452,0.0010277492291880781,0.0010277492291880781,0.0698869475847893
hectormine,salton_brawley,A,False,177.30480778954595,96.0,False,2.5,5d,52,1,0.011111111111111112,0.05555555555555556,935.9999999999999,0.0010438413361169101,957,1.7573508746781525,9.0,311765.86526304187,1076970.3571120866,156253.07155059656,0.003083247687564234,0.0010277492291880781,0.0010277492291880781,0.0010277492291880781
hectormine,salton_brawley,A,False,177.30480778954595,96.0,False,2.5,1d,17,1,0.011111111111111112,0.011111111111111112,1530.0,0.0010438413361169101,957,1.9103702440933072,0.0,311765.86526304187,1076970.3571120866,156253.07155059656,0.0010277492291880781,0.0010277492291880781,0.0010277492291880781,0.0010277492291880781
hectormine,lassen,B,True,802.0084321978518,96.0,False,1.5,5d,0,1,0.011111111111111112,0.05555555555555556,0.0,1.0,825,1.552694214876033,9.0,25454.67650868396,153695.9363032559,12757.558902264404,1.0,1.0,1.0,1.0
hectormine,lassen,B,True,802.0084321978518,96.0,False,1.5,1d,0,1,0.011111111111111112,0.011111111111111112,0.0,1.0,825,0.7481818181818182,0.0,25454.67650868396,153695.9363032559,12757.558902264404,1.0,1.0,1.0,1.0
hectormine,lassen,B,True,802.0084321978518,96.0,False,2.5,5d,0,0,0.0,0.0,,,164,0.0,0.0,25454.67650868396,153695.9363032559,12757.558902264404,,,,
hectormine,lassen,B,True,802.0084321978518,96.0,False,2.5,1d,0,0,0.0,0.0,,,164,0.0,0.0,25454.67650868396,153695.9363032559,12757.558902264404,,,,
hectormine,mono_west_nv_mina,B,True,455.2882114840334,96.0,False,1.5,5d,0,0,0.0,0.0,,,733,1.1223646607532753,6.0,65155.21468896208,319053.67196733266,32654.96180635186,,,,
hectormine,mono_west_nv_mina,B,True,455.2882114840334,96.0,False,1.5,1d,0,0,0.0,0.0,,,733,1.1036818263275336,7.5,65155.21468896208,319053.67196733266,32654.96180635186,,,,
hectormine,mono_west_nv_mina,B,True,455.2882114840334,96.0,False,2.5,5d,0,0,0.0,0.0,,,618,0.6378640776699029,0.0,65155.21468896208,319053.67196733266,32654.96180635186,,,,
hectormine,mono_west_nv_mina,B,True,455.2882114840334,96.0,False,2.5,1d,0,0,0.0,0.0,,,618,0.3762135922330097,0.0,65155.21468896208,319053.67196733266,32654.96180635186,,,,
hectormine,little_skull_mtn,B,True,245.3033360668494,96.0,False,1.5,5d,0,0,0.0,0.0,,,652,1.1470698315526762,6.0,181884.99762980785,708493.3104196442,91158.43880038623,,,,
hectormine,little_skull_mtn,B,True,245.3033360668494,96.0,False,1.5,1d,0,0,0.0,0.0,,,652,1.008078379617369,0.0,181884.99762980785,708493.3104196442,91158.43880038623,,,,
