source,cell,cls,documented,measurable,dist_km,lam_bg_per_day,expected_5d,crit_RR,R_min_80pct,sig_primary_kPa,sig_secondary_kPa,dTau_min_kPa_Asigma0.03,R_pred_primary_Asigma0.03,power_primary_Asigma0.03,R_pred_secondary_Asigma0.03,power_secondary_Asigma0.03,dTau_min_kPa_Asigma0.10,R_pred_primary_Asigma0.10,power_primary_Asigma0.10,R_pred_secondary_Asigma0.10,power_secondary_Asigma0.10,dTau_min_kPa_Asigma0.15,R_pred_primary_Asigma0.15,power_primary_Asigma0.15,R_pred_secondary_Asigma0.15,power_secondary_Asigma0.15
hectormine,mendocino,C,False,True,967.6759817308465,0.34444444444444444,1.7222222222222223,2.805624999999999,4.250000000000003,18.63772402910259,120.63173098816387,43.40756948808978,1.861267054005854,0.20175,55.76005203264637,1.0,144.69189829363262,1.204876702693239,0.06125,3.3411575201931853,0.623,217.0378474404489,1.1323006014660235,0.053,2.2349336479821162,0.308
hectormine,wasatch_slc,C,False,False,780.1682340682493,0.022222222222222223,0.11111111111111112,9.0,,26.648458762333973,159.2686690205305,,2.4309495898735443,0.07125,202.13901100642715,0.86875,,1.3053674703651654,0.0465,4.91694149677819,0.16275,,1.1944148399222148,0.0405,2.891545478411515,0.0975
hectormine,san_jacinto,C,False,True,131.91495734174126,1.2555555555555555,6.277777777777778,2.3684210526315788,3.0000000000000018,509.35022770059106,1577.1532564919867,32.958368660043305,23637403.82876213,1.0,6.786281653132344e+22,1.0,109.86122886681103,162.95959342954342,1.0,7071142.088459677,1.0,164.79184330021653,29.834581826517564,1.0,36840.572973684706,1.0
ridgecrest,long_valley,A,True,True,237.06747048801356,0.6222222222222222,3.111111111111111,3.4767857142857066,4.550000000000003,96.4755248837702,411.5933738018987,45.4538169888858,24.924489381987165,1.0,908708.0338944839,1.0,151.512723296286,2.6241453152549545,0.2085,61.30943449415159,1.0,227.26908494442895,1.9025025781519775,0.04825,15.548370238919427,1.0
ridgecrest,geysers,A,True,True,572.3907287667753,3.3444444444444446,16.72222222222222,1.8045251396648037,2.1500000000000012,22.332375046765634,132.01697230265,22.964035264187157,2.1052042673739164,0.79725,81.49696199537419,1.0,76.5467842139572,1.2502252692378617,0.0325,3.7440567759858485,1.0,114.8201763209358,1.160536618506632,0.014,2.411172511980555,0.94225
ridgecrest,yellowstone,A,True,True,1138.79496462784,0.32222222222222224,1.6111111111111112,5.0986607142857086,7.25,7.128612699110122,54.354870593641564,59.4300440659975,1.2682277117661716,0.0035,6.121633788412931,0.64875,198.10014688665834,1.073888450384735,0.00175,1.7221072838228222,0.0125,297.1502203299875,1.0486714577134164,0.0015,1.4367244053196657,0.0045
ridgecrest,salton_brawley,A,False,True,348.82259225498905,0.4888888888888889,2.444444444444444,4.097368421052631,5.5,50.81371748592982,250.08823968650694,51.14244276715276,5.4400626800219305,0.79375,4172.516692874484,1.0,170.47480922384253,1.6621919362261148,0.01375,12.193248499370917,1.0,255.7122138357638,1.4032038923939147,0.006,5.29760552769108,0.7715
ridgecrest,lassen,B,True,False,626.8532763949203,0.022222222222222223,0.11111111111111112,9.0,,19.204774807489642,117.41111143447438,,1.896782747697254,0.06075,50.08410611187008,0.84375,,1.2117283732807473,0.039,3.235265883903601,0.10025,,1.1365891820848204,0.03575,2.1874593208557567,0.06675
ridgecrest,mono_west_nv_mina,B,True,True,296.8487933724162,0.07777777777777778,0.3888888888888889,7.739999999999956,13.5,66.41956627590278,307.9517588714753,78.08069056333152,9.152119964219773,0.58,28711.661091918624,0.99925,260.26896854443834,1.9429271240294284,0.05425,21.747908428739883,0.96525,390.40345281665753,1.5570563887945952,0.0355,7.791331159294366,0.46925
ridgecrest,little_skull_mtn,B,True,True,167.2405432769011,0.05555555555555555,0.2777777777777778,6.0,13.25,172.17005081099492,645.5688780248822,77.51992657296694,310.7540283743855,0.9925,2215984476.969839,0.99325,258.3997552432231,5.594033079266838,0.3935,636.3118543858341,0.992,387.5996328648347,3.151253589968987,0.18975,73.9798323438712,0.9945
